x0000,y0000,x0001,y0001
-0.033554432,0.4598388672,-0.033554432,0.6260986328
-0.033550336,0.462890625,-0.033550336,0.6257324219
-0.0335462400,0.4665527344,-0.0335462400,0.6252441406
-0.033542144,0.4697265625,-0.033542144,0.6246337891
-0.033538048,0.4744873047,-0.033538048,0.6241455078
-0.033533952,0.4786376953,-0.033533952,0.6237792969
-0.0335298560,0.4841308594,-0.0335298560,0.6231689453
-0.03352576,0.4860839844,-0.03352576,0.6226806641
-0.033521664,0.4886474609,-0.033521664,0.6223144531
-0.0335175680,0.4929199219,-0.0335175680,0.6217041016
-0.033513472,0.4956054688,-0.033513472,0.6212158203
-0.033509376,0.4981689453,-0.033509376,0.6208496094
-0.0335052800,0.4995117188,-0.0335052800,0.6202392578
-0.033501184,0.5012207031,-0.033501184,0.6197509766
-0.033497088,0.5020751953,-0.033497088,0.6192626953
-0.033492992,0.5047607422,-0.033492992,0.6187744141
-0.0334888960,0.5052490234,-0.0334888960,0.6182861328
-0.0334848,0.5083007812,-0.0334848,0.6177978516
-0.033480704,0.5109863281,-0.033480704,0.6173095703
-0.0334766080,0.5129394531,-0.0334766080,0.6168212891
-0.033472512,0.5155029297,-0.033472512,0.6163330078
-0.033468416,0.5197753906,-0.033468416,0.6158447266
-0.03346432,0.5229492188,-0.03346432,0.6153564453
-0.0334602240,0.5255126953,-0.0334602240,0.6148681641
-0.033456128,0.5296630859,-0.033456128,0.6143798828
-0.033452032,0.5347900391,-0.033452032,0.6138916016
-0.0334479360,0.5385742188,-0.0334479360,0.6134033203
-0.03344384,0.5421142578,-0.03344384,0.6129150391
-0.033439744,0.5482177734,-0.033439744,0.6124267578
-0.0334356480,0.5532226562,-0.0334356480,0.6119384766
-0.033431552,0.5573730469,-0.033431552,0.6114501953
-0.033427456,0.5615234375,-0.033427456,0.6109619141
-0.03342336,0.5661621094,-0.03342336,0.6104736328
-0.0334192640,0.5693359375,-0.0334192640,0.6099853516
-0.033415168,0.5704345703,-0.033415168,0.6094970703
-0.033411072,0.5709228516,-0.033411072,0.6088867188
-0.0334069760,0.57421875,-0.0334069760,0.6085205078
-0.03340288,0.5759277344,-0.03340288,0.6080322266
-0.033398784,0.5788574219,-0.033398784,0.607421875
-0.033394688,0.5806884766,-0.033394688,0.6070556641
-0.0333905920,0.5844726562,-0.0333905920,0.6065673828
-0.033386496,0.5875244141,-0.033386496,0.6059570312
-0.0333824,0.5914306641,-0.0333824,0.60546875
-0.0333783040,0.5928955078,-0.0333783040,0.6051025391
-0.033374208,0.5953369141,-0.033374208,0.6044921875
-0.033370112,0.5979003906,-0.033370112,0.6040039062
-0.0333660160,0.6009521484,-0.0333660160,0.6036376953
-0.03336192,0.6032714844,-0.03336192,0.6030273438
-0.033357824,0.6083984375,-0.033357824,0.6025390625
-0.033353728,0.6116943359,-0.033353728,0.6020507812
-0.0333496320,0.6179199219,-0.0333496320,0.6015625
-0.033345536,0.6223144531,-0.033345536,0.6010742188
