x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003
0.,-41.1846882276,0.,nan,0.,nan,0.,-313.0711954905
238.4185791016,-41.1913868336,238.4185791016,nan,238.4185791016,nan,238.4185791016,-182.9562044070
476.8371582031,-41.2114826556,476.8371582031,nan,476.8371582031,nan,476.8371582031,-176.9773071196
715.2557373047,-41.2449757051,715.2557373047,nan,715.2557373047,nan,715.2557373047,-173.5249641451
953.6743164062,-41.2918660011,953.6743164062,nan,953.6743164062,nan,953.6743164062,-171.1234210755
1192.0928955078,-41.3521535684,1192.0928955078,nan,1192.0928955078,nan,1192.0928955078,-169.3101584484
1430.5114746094,-41.4258384375,1430.5114746094,nan,1430.5114746094,nan,1430.5114746094,-167.8791202362
1668.9300537109,-41.512920642,1668.9300537109,nan,1668.9300537109,nan,1668.9300537109,-166.7203493427
1907.3486328125,-41.6134002174,1907.3486328125,nan,1907.3486328125,nan,1907.3486328125,-165.7681678422
2145.7672119141,-41.7272771988,2145.7672119141,nan,2145.7672119141,nan,2145.7672119141,-164.9801660232
2384.1857910156,-41.8545516181,2384.1857910156,nan,2384.1857910156,nan,2384.1857910156,-164.327337901
2622.6043701172,-41.9952235012,2622.6043701172,nan,2622.6043701172,nan,2622.6043701172,-163.7889427981
2861.0229492187,-42.1492928650,2861.0229492187,nan,2861.0229492187,nan,2861.0229492187,-163.3496115482
3099.4415283203,-42.3167597137,3099.4415283203,nan,3099.4415283203,nan,3099.4415283203,-162.9976142947
3337.8601074219,-42.4976240345,3337.8601074219,nan,3337.8601074219,nan,3337.8601074219,-162.7237713568
3576.2786865234,-42.6918857941,3576.2786865234,nan,3576.2786865234,nan,3576.2786865234,-162.5207400553
3814.697265625,-42.8995449331,3814.697265625,nan,3814.697265625,nan,3814.697265625,-162.3825314789
4053.1158447266,-43.1206013614,4053.1158447266,nan,4053.1158447266,nan,4053.1158447266,-162.3041733247
4291.5344238281,-43.3550549525,4291.5344238281,nan,4291.5344238281,nan,4291.5344238281,-162.2814686022
4529.9530029297,-43.6029055369,4529.9530029297,nan,4529.9530029297,nan,4529.9530029297,-162.310819049
4768.3715820312,-43.8641528959,4768.3715820312,nan,4768.3715820312,nan,4768.3715820312,-162.3890933351
5006.7901611328,-44.1387967536,5006.7901611328,nan,5006.7901611328,nan,5006.7901611328,-162.5135269704
