x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003
0.,-41.1528938882,0.,nan,0.,nan,0.,-313.0711954905
238.4185791016,-41.1595907442,238.4185791016,nan,238.4185791016,nan,238.4185791016,-185.1810114438
476.8371582031,-41.1796813054,476.8371582031,nan,476.8371582031,nan,476.8371582031,-179.1804876114
715.2557373047,-41.2131655508,715.2557373047,nan,715.2557373047,nan,715.2557373047,-175.6922299376
953.6743164062,-41.2600434446,953.6743164062,nan,953.6743164062,nan,953.6743164062,-173.2406784062
1192.0928955078,-41.3203149352,1192.0928955078,nan,1192.0928955078,nan,1192.0928955078,-171.3635836806
1430.5114746094,-41.3939799535,1430.5114746094,nan,1430.5114746094,nan,1430.5114746094,-169.8552340383
1668.9300537109,-41.4810384104,1668.9300537109,nan,1668.9300537109,nan,1668.9300537109,-168.6060888556
1907.3486328125,-41.5814901948,1907.3486328125,nan,1907.3486328125,nan,1907.3486328125,-167.550956567
2145.7672119141,-41.6953351702,2145.7672119141,nan,2145.7672119141,nan,2145.7672119141,-166.6479812807
2384.1857910156,-41.8225731711,2384.1857910156,nan,2384.1857910156,nan,2384.1857910156,-165.8687758285
2622.6043701172,-41.9632039991,2622.6043701172,nan,2622.6043701172,nan,2622.6043701172,-165.1932809648
2861.0229492187,-42.1172274182,2861.0229492187,nan,2861.0229492187,nan,2861.0229492187,-164.6068693884
3099.4415283203,-42.2846431498,3099.4415283203,nan,3099.4415283203,nan,3099.4415283203,-164.0986116674
3337.8601074219,-42.465450867,3337.8601074219,nan,3337.8601074219,nan,3337.8601074219,-163.6601856438
3576.2786865234,-42.6596501881,3576.2786865234,nan,3576.2786865234,nan,3576.2786865234,-163.2851623068
3814.697265625,-42.8672406699,3814.697265625,nan,3814.697265625,nan,3814.697265625,-162.9685221929
4053.1158447266,-43.0882218003,4053.1158447266,nan,4053.1158447266,nan,4053.1158447266,-162.7063185231
4291.5344238281,-43.3225929890,4291.5344238281,nan,4291.5344238281,nan,4291.5344238281,-162.4954369205
4529.9530029297,-43.5703535594,4529.9530029297,nan,4529.9530029297,nan,4529.9530029297,-162.3334206072
4768.3715820312,-43.8315027373,4768.3715820312,nan,4768.3715820312,nan,4768.3715820312,-162.218341192
5006.7901611328,-44.1060396402,5006.7901611328,nan,5006.7901611328,nan,5006.7901611328,-162.1487019961
5245.2087402344,-44.3939632639,5245.2087402344,nan,5245.2087402344,nan,5245.2087402344,-162.1233651505
5483.6273193359,-44.6952724691,5483.6273193359,nan,5483.6273193359,nan,5483.6273193359,-162.1414964711
5722.0458984375,-45.0099659646,5722.0458984375,nan,5722.0458984375,nan,5722.0458984375,-162.2025239533
5960.4644775391,-45.3380422900,5960.4644775391,nan,5960.4644775391,nan,5960.4644775391,-162.3061069772
6198.8830566406,-45.6794997947,6198.8830566406,nan,6198.8830566406,nan,6198.8830566406,-162.4521141912
6437.3016357422,-46.0343366149,6437.3016357422,nan,6437.3016357422,nan,6437.3016357422,-162.6406086757
6675.7202148437,-46.4025506469,6675.7202148437,nan,6675.7202148437,nan,6675.7202148437,-162.8718394719
6914.1387939453,-46.7841395165,6914.1387939453,nan,6914.1387939453,nan,6914.1387939453,-163.1462389455
7152.5573730469,-47.1791005439,7152.5573730469,nan,7152.5573730469,nan,7152.5573730469,-163.4644257894
7390.9759521484,-47.5874307026,7390.9759521484,nan,7390.9759521484,nan,7390.9759521484,-163.8272137904
7629.39453125,-48.0091265722,7629.39453125,nan,7629.39453125,nan,7629.39453125,-164.2356268129
7867.8131103516,-48.4441842835,7867.8131103516,nan,7867.8131103516,nan,7867.8131103516,-164.6909208391
8106.2316894531,-48.8925994536,8106.2316894531,nan,8106.2316894531,nan,8106.2316894531,-165.1946143739
8344.6502685547,-49.3543671112,8344.6502685547,nan,8344.6502685547,nan,8344.6502685547,-165.7485291441
8583.0688476562,-49.8294816075,8583.0688476562,nan,8583.0688476562,nan,8583.0688476562,-166.3548438765
8821.4874267578,-50.3179365132,8821.4874267578,nan,8821.4874267578,nan,8821.4874267578,-167.0161651442
9059.9060058594,-50.8197244953,9059.9060058594,nan,9059.9060058594,nan,9059.9060058594,-167.7356210459
9298.3245849609,-51.3348371732,9298.3245849609,nan,9298.3245849609,nan,9298.3245849609,-168.5169861404
9536.7431640625,-51.8632649473,9536.7431640625,nan,9536.7431640625,nan,9536.7431640625,-169.3648501621
9775.1617431641,-52.4049967970,9775.1617431641,nan,9775.1617431641,nan,9775.1617431641,-170.2848495501
10013.5803222656,-52.9600200396,10013.5803222656,nan,10013.5803222656,nan,10013.5803222656,-171.28399146
10251.9989013672,-53.5283200438,10251.9989013672,nan,10251.9989013672,nan,10251.9989013672,-172.3711179104
10490.4174804687,-54.1098798882,10490.4174804687,nan,10490.4174804687,nan,10490.4174804687,-173.5575893154
10728.8360595703,-54.7046799524,10728.8360595703,nan,10728.8360595703,nan,10728.8360595703,-174.8583247026
10967.2546386719,-55.3126974266,10967.2546386719,nan,10967.2546386719,nan,10967.2546386719,-176.2934482859
11205.6732177734,-55.9339057228,11205.6732177734,nan,11205.6732177734,nan,11205.6732177734,-177.8910236220
11444.091796875,-56.5682737646,11444.091796875,nan,11444.091796875,nan,11444.091796875,-179.691871652
11682.5103759766,-57.2157651297,11682.5103759766,nan,11682.5103759766,nan,11682.5103759766,-181.7587298153
11920.9289550781,-57.8763370098,11920.9289550781,nan,11920.9289550781,nan,11920.9289550781,-184.1955053536
12159.3475341797,-58.5499389479,12159.3475341797,nan,12159.3475341797,nan,12159.3475341797,-187.1938684254
12397.7661132812,-59.2365112987,12397.7661132812,nan,12397.7661132812,nan,12397.7661132812,-191.1730819087
12636.1846923828,-59.935983348,12636.1846923828,nan,12636.1846923828,nan,12636.1846923828,-197.3990014921
12874.6032714844,-60.6482710082,12874.6032714844,nan,12874.6032714844,nan,12874.6032714844,-218.2903217032
13113.0218505859,-61.3732739881,13113.0218505859,nan,13113.0218505859,nan,13113.0218505859,-200.6633886204
13351.4404296875,-62.1108723072,13351.4404296875,nan,13351.4404296875,nan,13351.4404296875,-194.8748280773
13589.8590087891,-62.8609219958,13589.8590087891,nan,13589.8590087891,nan,13589.8590087891,-191.9691324622
13828.2775878906,-63.6232497779,13828.2775878906,nan,13828.2775878906,nan,13828.2775878906,-190.2084075022
