x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003
0.,-41.2275247952,0.,nan,0.,nan,0.,-313.0711954905
238.4185791016,-41.2342224313,238.4185791016,nan,238.4185791016,nan,238.4185791016,-171.0674251690
476.8371582031,-41.2543153271,476.8371582031,nan,476.8371582031,nan,476.8371582031,-165.0822565824
715.2557373047,-41.2878034452,715.2557373047,nan,715.2557373047,nan,715.2557373047,-161.6194683405
953.6743164062,-41.3346867219,953.6743164062,nan,953.6743164062,nan,953.6743164062,-159.2033139512
1192.0928955078,-41.3949650657,1192.0928955078,nan,1192.0928955078,nan,1192.0928955078,-157.3712858143
1430.5114746094,-41.4686383547,1430.5114746094,nan,1430.5114746094,nan,1430.5114746094,-155.9173435467
1668.9300537109,-41.5557064339,1668.9300537109,nan,1668.9300537109,nan,1668.9300537109,-154.7315496475
1907.3486328125,-41.6561691106,1907.3486328125,nan,1907.3486328125,nan,1907.3486328125,-153.7482499842
2145.7672119141,-41.7700261504,2145.7672119141,nan,2145.7672119141,nan,2145.7672119141,-152.9250631281
2384.1857910156,-41.8972772713,2384.1857910156,nan,2384.1857910156,nan,2384.1857910156,-152.2330161927
2622.6043701172,-42.0379221377,2622.6043701172,nan,2622.6043701172,nan,2622.6043701172,-151.6514067632
2861.0229492187,-42.1919603529,2861.0229492187,nan,2861.0229492187,nan,2861.0229492187,-151.1649094636
3099.4415283203,-42.3593914510,3099.4415283203,nan,3099.4415283203,nan,3099.4415283203,-150.7618441186
3337.8601074219,-42.5402148877,3337.8601074219,nan,3337.8601074219,nan,3337.8601074219,-150.4330869678
3576.2786865234,-42.7344300296,3576.2786865234,nan,3576.2786865234,nan,3576.2786865234,-150.1713578036
3814.697265625,-42.9420361424,3814.697265625,nan,3814.697265625,nan,3814.697265625,-149.97073699
4053.1158447266,-43.1630323781,4053.1158447266,nan,4053.1158447266,nan,4053.1158447266,-149.8263284644
4291.5344238281,-43.3974177593,4291.5344238281,nan,4291.5344238281,nan,4291.5344238281,-149.7340184769
4529.9530029297,-43.6451911629,4529.9530029297,nan,4529.9530029297,nan,4529.9530029297,-149.6902988717
4768.3715820312,-43.9063513011,4768.3715820312,nan,4768.3715820312,nan,4768.3715820312,-149.6921349341
5006.7901611328,-44.1808966999,5006.7901611328,nan,5006.7901611328,nan,5006.7901611328,-149.7368646589
5245.2087402344,-44.4688256743,5245.2087402344,nan,5245.2087402344,nan,5245.2087402344,-149.8221205808
5483.6273193359,-44.7701363013,5483.6273193359,nan,5483.6273193359,nan,5483.6273193359,-149.9457680657
5722.0458984375,-45.0848263879,5722.0458984375,nan,5722.0458984375,nan,5722.0458984375,-150.1058557868
5960.4644775391,-45.4128934351,5960.4644775391,nan,5960.4644775391,nan,5960.4644775391,-150.3005753362
6198.8830566406,-45.7543345962,6198.8830566406,nan,6198.8830566406,nan,6198.8830566406,-150.5282277682
6437.3016357422,-46.1091466296,6437.3016357422,nan,6437.3016357422,nan,6437.3016357422,-150.7871954692
6675.7202148437,-46.477325843,6675.7202148437,nan,6675.7202148437,nan,6675.7202148437,-151.0759181720
6914.1387939453,-46.85886803,6914.1387939453,nan,6914.1387939453,nan,6914.1387939453,-151.3928722512
7152.5573730469,-47.2537683961,7152.5573730469,nan,7152.5573730469,nan,7152.5573730469,-151.7365526685
7390.9759521484,-47.6620214723,7390.9759521484,nan,7390.9759521484,nan,7390.9759521484,-152.1054571239
7629.39453125,-48.0836210147,7629.39453125,nan,7629.39453125,nan,7629.39453125,-152.4980721124
7867.8131103516,-48.5185598867,7867.8131103516,nan,7867.8131103516,nan,7867.8131103516,-152.9128607081
8106.2316894531,-48.9668299212,8106.2316894531,nan,8106.2316894531,nan,8106.2316894531,-153.3482519994
8344.6502685547,-49.4284217587,8344.6502685547,nan,8344.6502685547,nan,8344.6502685547,-153.8026321885
8583.0688476562,-49.9033246566,8583.0688476562,nan,8583.0688476562,nan,8583.0688476562,-154.2743374454
8821.4874267578,-50.391526264,8821.4874267578,nan,8821.4874267578,nan,8821.4874267578,-154.7616486725
9059.9060058594,-50.8930123553,9059.9060058594,nan,9059.9060058594,nan,9059.9060058594,-155.2627883942
9298.3245849609,-51.4077665155,9298.3245849609,nan,9298.3245849609,nan,9298.3245849609,-155.77592002
9536.7431640625,-51.9357697648,9536.7431640625,nan,9536.7431640625,nan,9536.7431640625,-156.2991497567
9775.1617431641,-52.4770001130,9775.1617431641,nan,9775.1617431641,nan,9775.1617431641,-156.8305314386
10013.5803222656,-53.0314320277,10013.5803222656,nan,10013.5803222656,nan,10013.5803222656,-157.3680745129
10251.9989013672,-53.5990357977,10251.9989013672,nan,10251.9989013672,nan,10251.9989013672,-157.9097553527
10490.4174804687,-54.1797767709,10490.4174804687,nan,10490.4174804687,nan,10490.4174804687,-158.453531963
10728.8360595703,-54.7736144384,10728.8360595703,nan,10728.8360595703,nan,10728.8360595703,-158.9973620013
10967.2546386719,-55.3805013315,10967.2546386719,nan,10967.2546386719,nan,10967.2546386719,-159.5392238565
11205.6732177734,-56.0003816910,11205.6732177734,nan,11205.6732177734,nan,11205.6732177734,-160.0771403199
11444.091796875,-56.6331898566,11444.091796875,nan,11444.091796875,nan,11444.091796875,-160.6092041611
11682.5103759766,-57.2788483145,11682.5103759766,nan,11682.5103759766,nan,11682.5103759766,-161.1336047091
11920.9289550781,-57.9372653244,11920.9289550781,nan,11920.9289550781,nan,11920.9289550781,-161.6486543517
12159.3475341797,-58.6083320303,12159.3475341797,nan,12159.3475341797,nan,12159.3475341797,-162.1528137392
12397.7661132812,-59.2919189347,12397.7661132812,nan,12397.7661132812,nan,12397.7661132812,-162.6447144311
12636.1846923828,-59.9878715896,12636.1846923828,nan,12636.1846923828,nan,12636.1846923828,-163.1231777724
12874.6032714844,-60.6960053223,12874.6032714844,nan,12874.6032714844,nan,12874.6032714844,-163.5872289421
13113.0218505859,-61.4160987742,13113.0218505859,nan,13113.0218505859,nan,13113.0218505859,-164.0361053687
13351.4404296875,-62.1478859781,13351.4404296875,nan,13351.4404296875,nan,13351.4404296875,-164.4692590415
13589.8590087891,-62.8910466466,13589.8590087891,nan,13589.8590087891,nan,13589.8590087891,-164.8863526286
13828.2775878906,-63.6451942744,13828.2775878906,nan,13828.2775878906,nan,13828.2775878906,-165.2872497028
14066.6961669922,-64.4098615863,14066.6961669922,nan,14066.6961669922,nan,14066.6961669922,-165.6719997398
14305.1147460937,-65.1844827902,14305.1147460937,nan,14305.1147460937,nan,14305.1147460937,-166.0408188454
14543.5333251953,-65.9683720254,14543.5333251953,nan,14543.5333251953,nan,14543.5333251953,-166.3940673718
14781.9519042969,-66.7606973528,14781.9519042969,nan,14781.9519042969,nan,14781.9519042969,-166.7322256803
15020.3704833984,-67.5604496374,15020.3704833984,nan,15020.3704833984,nan,15020.3704833984,-167.0558692969
15258.7890625,-68.3664057662,15258.7890625,nan,15258.7890625,nan,15258.7890625,-167.3656446106
15497.2076416016,-69.1770858871,15497.2076416016,nan,15497.2076416016,nan,15497.2076416016,-167.6622460888
15735.6262207031,-69.9907048318,15735.6262207031,nan,15735.6262207031,nan,15735.6262207031,-167.9463957725
15974.0447998047,-70.8051187169,15974.0447998047,nan,15974.0447998047,nan,15974.0447998047,-168.2188255743
16212.4633789062,-71.6177690263,16212.4633789062,nan,16212.4633789062,nan,16212.4633789062,-168.4802626725
16450.8819580078,-72.4256284048,16450.8819580078,nan,16450.8819580078,nan,16450.8819580078,-168.7314180816
16689.3005371094,-73.225155004,16689.3005371094,nan,16689.3005371094,nan,16689.3005371094,-168.9729783037
16927.7191162109,-74.0122654152,16927.7191162109,nan,16927.7191162109,nan,16927.7191162109,-169.2055998258
17166.1376953125,-74.7823396052,17166.1376953125,nan,17166.1376953125,nan,17166.1376953125,-169.4299061269
17404.5562744141,-75.5302739109,17404.5562744141,nan,17404.5562744141,nan,17404.5562744141,-169.6464868047
17642.9748535156,-76.2505985578,17642.9748535156,nan,17642.9748535156,nan,17642.9748535156,-169.8558983997
17881.3934326172,-76.9376723543,17881.3934326172,nan,17881.3934326172,nan,17881.3934326172,-170.0586664977
18119.8120117187,-77.5859573854,18119.8120117187,nan,18119.8120117187,nan,18119.8120117187,-170.255288716
18358.2305908203,-78.1903602336,18358.2305908203,nan,18358.2305908203,nan,18358.2305908203,-170.4462382138
18596.6491699219,-78.7466058484,18596.6491699219,nan,18596.6491699219,nan,18596.6491699219,-170.6319674171
18835.0677490234,-79.2515915446,18835.0677490234,nan,18835.0677490234,nan,18835.0677490234,-170.8129117007
19073.486328125,-79.703659811,19073.486328125,nan,19073.486328125,nan,19073.486328125,-170.9894928262
19311.9049072266,-80.1027362877,19311.9049072266,nan,19311.9049072266,nan,19311.9049072266,-171.1621219859
19550.3234863281,-80.4503041351,19550.3234863281,nan,19550.3234863281,nan,19550.3234863281,-171.3312023558
19788.7420654297,-80.7492209129,19788.7420654297,nan,19788.7420654297,nan,19788.7420654297,-171.4971311006
20027.1606445312,-81.0034167728,20027.1606445312,nan,20027.1606445312,nan,20027.1606445312,-171.6603008180
20265.5792236328,-81.2175321377,20265.5792236328,nan,20265.5792236328,nan,20265.5792236328,-171.8211004340
20503.9978027344,-81.3965546033,20503.9978027344,nan,20503.9978027344,nan,20503.9978027344,-171.9799155918
20742.4163818359,-81.5455017200,20742.4163818359,nan,20742.4163818359,nan,20742.4163818359,-172.1371285891
20980.8349609375,-81.6691762428,20980.8349609375,nan,20980.8349609375,nan,20980.8349609375,-172.2931179344
21219.2535400391,-81.7720010055,21219.2535400391,nan,21219.2535400391,nan,21219.2535400391,-172.4482575951
21457.6721191406,-81.8579264532,21457.6721191406,nan,21457.6721191406,nan,21457.6721191406,-172.6029160120
21696.0906982422,-81.9303962990,21696.0906982422,nan,21696.0906982422,nan,21696.0906982422,-172.7574549548
21934.5092773437,-81.9923546819,21934.5092773437,nan,21934.5092773437,nan,21934.5092773437,-172.9122282805
22172.9278564453,-82.0462796105,22172.9278564453,nan,22172.9278564453,nan,22172.9278564453,-173.0675806557
22411.3464355469,-82.0942305338,22411.3464355469,nan,22411.3464355469,nan,22411.3464355469,-173.2238462887
22649.7650146484,-82.1379012779,22649.7650146484,nan,22649.7650146484,nan,22649.7650146484,-173.3813477095
22888.18359375,-82.1786726148,22888.18359375,nan,22888.18359375,nan,22888.18359375,-173.5403946260
23126.6021728516,-82.2176610989,23126.6021728516,nan,23126.6021728516,nan,23126.6021728516,-173.7012828729
23365.0207519531,-82.2557625012,23365.0207519531,nan,23365.0207519531,nan,23365.0207519531,-173.8642934629
23603.4393310547,-82.2936892912,23603.4393310547,nan,23603.4393310547,nan,23603.4393310547,-174.0296917414
23841.8579101562,-82.3320022955,23841.8579101562,nan,23841.8579101562,nan,23841.8579101562,-174.1977266391
24080.2764892578,-82.3711370314,24080.2764892578,nan,24080.2764892578,nan,24080.2764892578,-174.3686300122
24318.6950683594,-82.4114253852,24318.6950683594,nan,24318.6950683594,nan,24318.6950683594,-174.5426160563
24557.1136474609,-82.4531133425,24557.1136474609,nan,24557.1136474609,nan,24557.1136474609,-174.7198807771
24795.5322265625,-82.4963754490,24795.5322265625,nan,24795.5322265625,nan,24795.5322265625,-174.9006015015
25033.9508056641,-82.5413266130,25033.9508056641,nan,25033.9508056641,nan,25033.9508056641,-175.0849364105
25272.3693847656,-82.5880317778,25272.3693847656,nan,25272.3693847656,nan,25272.3693847656,-175.2730240781
25510.7879638672,-82.6365139091,25510.7879638672,nan,25510.7879638672,nan,25510.7879638672,-175.4649830024
25749.2065429687,-82.6867606626,25749.2065429687,nan,25749.2065429687,nan,25749.2065429687,-175.6609111162
25987.6251220703,-82.7387300277,25987.6251220703,nan,25987.6251220703,nan,25987.6251220703,-175.8608852703
26226.0437011719,-82.7923551798,26226.0437011719,nan,26226.0437011719,nan,26226.0437011719,-176.0649606837
26464.4622802734,-82.8475487235,26464.4622802734,nan,26464.4622802734,nan,26464.4622802734,-176.2731703621
26702.880859375,-82.9042064643,26702.880859375,nan,26702.880859375,nan,26702.880859375,-176.4855244883
26941.2994384766,-82.9622108111,26941.2994384766,nan,26941.2994384766,nan,26941.2994384766,-176.7020097937
27179.7180175781,-83.0214338802,27179.7180175781,nan,27179.7180175781,nan,27179.7180175781,-176.9225889246
27418.1365966797,-83.0817403499,27418.1365966797,nan,27418.1365966797,nan,27418.1365966797,-177.1471998223
27656.5551757812,-83.1429900935,27656.5551757812,nan,27656.5551757812,nan,27656.5551757812,-177.3757551377
27894.9737548828,-83.205040604,27894.9737548828,nan,27894.9737548828,nan,27894.9737548828,-177.6081417095
28133.3923339844,-83.2677492111,28133.3923339844,nan,28133.3923339844,nan,28133.3923339844,-177.8442201338
28371.8109130859,-83.3309750851,28371.8109130859,nan,28371.8109130859,nan,28371.8109130859,-178.0838244586
28610.2294921875,-83.3945810139,28610.2294921875,nan,28610.2294921875,nan,28610.2294921875,-178.3267620384
28848.6480712891,-83.458434938,28848.6480712891,nan,28848.6480712891,nan,28848.6480712891,-178.5728135842
29087.0666503906,-83.5224112275,29087.0666503906,nan,29087.0666503906,nan,29087.0666503906,-178.8217334445
29325.4852294922,-83.5863916873,29325.4852294922,nan,29325.4852294922,nan,29325.4852294922,-179.073250152
29563.9038085937,-83.6502662779,29563.9038085937,nan,29563.9038085937,nan,29563.9038085937,-179.3270672673
29802.3223876953,-83.7139335478,29802.3223876953,nan,29802.3223876953,nan,29802.3223876953,-179.5828645470
30040.7409667969,-83.7773007756,30040.7409667969,nan,30040.7409667969,nan,30040.7409667969,-179.8402994568
30279.1595458984,-83.8402838288,30279.1595458984,nan,30279.1595458984,nan,30279.1595458984,-180.0990090436
30517.578125,-83.9028067539,30517.578125,nan,30517.578125,nan,30517.578125,-180.3586121707
30755.9967041016,-83.9648011176,30755.9967041016,nan,30755.9967041016,nan,30755.9967041016,-180.618712109
30994.4152832031,-84.0262051281,30994.4152832031,nan,30994.4152832031,nan,30994.4152832031,-180.8788994669
31232.8338623047,-84.0869625692,31232.8338623047,nan,31232.8338623047,nan,31232.8338623047,-181.1387554266
31471.2524414062,-84.1470215871,31471.2524414062,nan,31471.2524414062,nan,31471.2524414062,-181.3978552435
31709.6710205078,-84.2063333724,31709.6710205078,nan,31709.6710205078,nan,31709.6710205078,-181.6557719508
31948.0895996094,-84.2648507837,31948.0895996094,nan,31948.0895996094,nan,31948.0895996094,-181.9120802032
32186.5081787109,-84.3225269589,32186.5081787109,nan,32186.5081787109,nan,32186.5081787109,-182.1663601775
32424.9267578125,-84.379313962,32424.9267578125,nan,32424.9267578125,nan,32424.9267578125,-182.4182014484
32663.3453369141,-84.4351615101,32663.3453369141,nan,32663.3453369141,nan,32663.3453369141,-182.6672067472
32901.7639160156,-84.4900158244,32901.7639160156,nan,32901.7639160156,nan,32901.7639160156,-182.9129955143
33140.1824951172,-84.5438186429,33140.1824951172,nan,33140.1824951172,nan,33140.1824951172,-183.1552071598
33378.6010742187,-84.5965064312,33378.6010742187,nan,33378.6010742187,nan,33378.6010742187,-183.3935039546
33617.0196533203,-84.6480098172,33617.0196533203,nan,33617.0196533203,nan,33617.0196533203,-183.6275734882
33855.4382324219,-84.6982532753,33855.4382324219,nan,33855.4382324219,nan,33855.4382324219,-183.8571306450
34093.8568115234,-84.7471550734,34093.8568115234,nan,34093.8568115234,nan,34093.8568115234,-184.0819190713
34332.275390625,-84.7946274929,34332.275390625,nan,34332.275390625,nan,34332.275390625,-184.3017121277
34570.6939697266,-84.8405773217,34570.6939697266,nan,34570.6939697266,nan,34570.6939697266,-184.5163133441
34809.1125488281,-84.8849066153,34809.1125488281,nan,34809.1125488281,nan,34809.1125488281,-184.7255564157
35047.5311279297,-84.9275137109,35047.5311279297,nan,35047.5311279297,nan,35047.5311279297,-184.9293048019
35285.9497070312,-84.9682944758,35285.9497070312,nan,35285.9497070312,nan,35285.9497070312,-185.1274510033
35524.3682861328,-85.0071437605,35524.3682861328,nan,35524.3682861328,nan,35524.3682861328,-185.319915609
35762.7868652344,-85.0439570243,35762.7868652344,nan,35762.7868652344,nan,35762.7868652344,-185.5066462104
36001.2054443359,-85.0786320943,36001.2054443359,nan,36001.2054443359,nan,36001.2054443359,-185.6876162834
36239.6240234375,-85.1110710133,36239.6240234375,nan,36239.6240234375,nan,36239.6240234375,-185.8628241328
36478.0426025391,-85.1411819315,36478.0426025391,nan,36478.0426025391,nan,36478.0426025391,-186.0322919871
36716.4611816406,-85.1688809918,36716.4611816406,nan,36716.4611816406,nan,36716.4611816406,-186.1960653152
36954.8797607422,-85.1940941607,36954.8797607422,nan,36954.8797607422,nan,36954.8797607422,-186.3542124156
37193.2983398437,-85.2167589565,37193.2983398437,nan,37193.2983398437,nan,37193.2983398437,-186.5068243117
37431.7169189453,-85.236826029,37431.7169189453,nan,37431.7169189453,nan,37431.7169189453,-186.6540149571
37670.1354980469,-85.2542605507,37670.1354980469,nan,37670.1354980469,nan,37670.1354980469,-186.7959217361
37908.5540771484,-85.2690433837,37908.5540771484,nan,37908.5540771484,nan,37908.5540771484,-186.9327062165
38146.97265625,-85.281171993,38146.97265625,nan,38146.97265625,nan,38146.97265625,-187.0645550972
38385.3912353516,-85.2906610872,38385.3912353516,nan,38385.3912353516,nan,38385.3912353516,-187.1916812702
38623.8098144531,-85.2975429729,38623.8098144531,nan,38623.8098144531,nan,38623.8098144531,-187.3143249100
38862.2283935547,-85.3018676195,38862.2283935547,nan,38862.2283935547,nan,38862.2283935547,-187.4327544939
39100.6469726562,-85.3037024397,39100.6469726562,nan,39100.6469726562,nan,39100.6469726562,-187.5472676557
39339.0655517578,-85.3031317977,39339.0655517578,nan,39339.0655517578,nan,39339.0655517578,-187.6581917811
39577.4841308594,-85.3002562661,39577.4841308594,nan,39577.4841308594,nan,39577.4841308594,-187.7658842634
39815.9027099609,-85.2951916556,39815.9027099609,nan,39815.9027099609,nan,39815.9027099609,-187.8707323494
40054.3212890625,-85.2880678501,40054.3212890625,nan,40054.3212890625,nan,40054.3212890625,-187.9731525275
40292.7398681641,-85.2790274791,40292.7398681641,nan,40292.7398681641,nan,40292.7398681641,-188.0735894265
40531.1584472656,-85.2682244647,40531.1584472656,nan,40531.1584472656,nan,40531.1584472656,-188.1725142175
40769.5770263672,-85.2558224771,40769.5770263672,nan,40769.5770263672,nan,40769.5770263672,-188.2704225297
41007.9956054687,-85.2419933365,41007.9956054687,nan,41007.9956054687,nan,41007.9956054687,-188.3678319114
41246.4141845703,-85.2269153912,41246.4141845703,nan,41246.4141845703,nan,41246.4141845703,-188.4652788849
41484.8327636719,-85.2107719056,41484.8327636719,nan,41484.8327636719,nan,41484.8327636719,-188.5633156547
41723.2513427734,-85.193749481,41723.2513427734,nan,41723.2513427734,nan,41723.2513427734,-188.6625065403
41961.669921875,-85.1760365362,41961.669921875,nan,41961.669921875,nan,41961.669921875,-188.7634242085
42200.0885009766,-85.1578218623,42200.0885009766,nan,42200.0885009766,nan,42200.0885009766,-188.8666457803
42438.5070800781,-85.1392932689,42438.5070800781,nan,42438.5070800781,nan,42438.5070800781,-188.9727488852
42676.9256591797,-85.1206363307,42676.9256591797,nan,42676.9256591797,nan,42676.9256591797,-189.0823077302
42915.3442382812,-85.1020332405,42915.3442382812,nan,42915.3442382812,nan,42915.3442382812,-189.1958892373
43153.7628173828,-85.0836617731,43153.7628173828,nan,43153.7628173828,nan,43153.7628173828,-189.3140492959
43392.1813964844,-85.0656943581,43392.1813964844,nan,43392.1813964844,nan,43392.1813964844,-189.4373291591
43630.5999755859,-85.0482972602,43630.5999755859,nan,43630.5999755859,nan,43630.5999755859,-189.5662520023
43869.0185546875,-85.0316298621,43869.0185546875,nan,43869.0185546875,nan,43869.0185546875,-189.7013196434
44107.4371337891,-85.0158440426,44107.4371337891,nan,44107.4371337891,nan,44107.4371337891,-189.8430094132
44345.8557128906,-85.0010836434,44345.8557128906,nan,44345.8557128906,nan,44345.8557128906,-189.9917711477
44584.2742919922,-84.987484015,44584.2742919922,nan,44584.2742919922,nan,44584.2742919922,-190.1480242614
44822.6928710937,-84.9751716329,44822.6928710937,nan,44822.6928710937,nan,44822.6928710937,-190.3121548506
45061.1114501953,-84.9642637742,45061.1114501953,nan,45061.1114501953,nan,45061.1114501953,-190.484512759
45299.5300292969,-84.9548682460,45299.5300292969,nan,45299.5300292969,nan,45299.5300292969,-190.6654085353
45537.9486083984,-84.9470831548,45537.9486083984,nan,45537.9486083984,nan,45537.9486083984,-190.8551101976
45776.3671875,-84.9409967091,45776.3671875,nan,45776.3671875,nan,45776.3671875,-191.0538397165
46014.7857666016,-84.936687047,46014.7857666016,nan,46014.7857666016,nan,46014.7857666016,-191.2617691211
46253.2043457031,-84.9342220794,46253.2043457031,nan,46253.2043457031,nan,46253.2043457031,-191.4790161304
46491.6229248047,-84.9336593441,46491.6229248047,nan,46491.6229248047,nan,46491.6229248047,-191.7056392110
46730.0415039062,-84.9350458625,46730.0415039062,nan,46730.0415039062,nan,46730.0415039062,-191.9416319657
46968.4600830078,-84.9384179958,46968.4600830078,nan,46968.4600830078,nan,46968.4600830078,-192.1869167617
47206.8786621094,-84.9438012964,47206.8786621094,nan,47206.8786621094,nan,47206.8786621094,-192.4413375237
47445.2972412109,-84.9512103511,47445.2972412109,nan,47445.2972412109,nan,47445.2972412109,-192.7046516340
47683.7158203125,-84.9606486162,47683.7158203125,nan,47683.7158203125,nan,47683.7158203125,-192.9765209115
47922.1343994141,-84.9721082446,47922.1343994141,nan,47922.1343994141,nan,47922.1343994141,-193.2565016851
48160.5529785156,-84.9855699064,48160.5529785156,nan,48160.5529785156,nan,48160.5529785156,-193.5440340328
48398.9715576172,-85.0010026081,48398.9715576172,nan,48398.9715576172,nan,48398.9715576172,-193.8384303336
48637.3901367187,-85.0183635150,48637.3901367187,nan,48637.3901367187,nan,48637.3901367187,-194.1388633786
48875.8087158203,-85.0375977855,48875.8087158203,nan,48875.8087158203,nan,48875.8087158203,-194.4443544105
49114.2272949219,-85.058638426,49114.2272949219,nan,49114.2272949219,nan,49114.2272949219,-194.7537616106
49352.6458740234,-85.0814061792,49352.6458740234,nan,49352.6458740234,nan,49352.6458740234,-195.0657697288
49591.064453125,-85.1058094588,49591.064453125,nan,49591.064453125,nan,49591.064453125,-195.3788817500
49829.4830322266,-85.1317443463,49829.4830322266,nan,49829.4830322266,nan,49829.4830322266,-195.6914136989
50067.9016113281,-85.1590946664,50067.9016113281,nan,50067.9016113281,nan,50067.9016113281,-196.0014938867
50306.3201904297,-85.1877321607,50306.3201904297,nan,50306.3201904297,nan,50306.3201904297,-196.3070680717
50544.7387695312,-85.2175167773,50544.7387695312,nan,50544.7387695312,nan,50544.7387695312,-196.6059120989
50783.1573486328,-85.2482970969,50783.1573486328,nan,50783.1573486328,nan,50783.1573486328,-196.8956535584
51021.5759277344,-85.2799109134,51021.5759277344,nan,51021.5759277344,nan,51021.5759277344,-197.1738038037
51259.9945068359,-85.3121859879,51259.9945068359,nan,51259.9945068359,nan,51259.9945068359,-197.437801246
51498.4130859375,-85.3449409911,51498.4130859375,nan,51498.4130859375,nan,51498.4130859375,-197.685066156
51736.8316650391,-85.3779866464,51736.8316650391,nan,51736.8316650391,nan,51736.8316650391,-197.9130662615
51975.2502441406,-85.4111270824,51975.2502441406,nan,51975.2502441406,nan,51975.2502441406,-198.1193912578
52213.6688232422,-85.4441613966,52213.6688232422,nan,52213.6688232422,nan,52213.6688232422,-198.3018330759
52452.0874023437,-85.4768854276,52452.0874023437,nan,52452.0874023437,nan,52452.0874023437,-198.4584675271
52690.5059814453,-85.5090937231,52690.5059814453,nan,52690.5059814453,nan,52690.5059814453,-198.5877319927
52928.9245605469,-85.5405816864,52928.9245605469,nan,52928.9245605469,nan,52928.9245605469,-198.6884933598
