x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003
0.,-41.2053926032,0.,nan,0.,nan,0.,-313.0711954905
238.4185791016,-41.2120923095,238.4185791016,nan,238.4185791016,nan,238.4185791016,-179.1439023952
476.8371582031,-41.2321914354,476.8371582031,nan,476.8371582031,nan,476.8371582031,-173.1505137842
715.2557373047,-41.2656900019,715.2557373047,nan,715.2557373047,nan,715.2557373047,-169.6740270775
953.6743164062,-41.3125880439,953.6743164062,nan,953.6743164062,nan,953.6743164062,-167.2386996214
1192.0928955078,-41.3728856095,1192.0928955078,nan,1192.0928955078,nan,1192.0928955078,-165.3820291846
1430.5114746094,-41.4465827595,1430.5114746094,nan,1430.5114746094,nan,1430.5114746094,-163.8979827760
1668.9300537109,-41.5336795668,1668.9300537109,nan,1668.9300537109,nan,1668.9300537109,-162.6766327542
1907.3486328125,-41.6341761155,1907.3486328125,nan,1907.3486328125,nan,1907.3486328125,-161.6523378418
2145.7672119141,-41.7480724998,2145.7672119141,nan,2145.7672119141,nan,2145.7672119141,-160.7827331026
2384.1857910156,-41.8753688231,2384.1857910156,nan,2384.1857910156,nan,2384.1857910156,-160.0388665412
2622.6043701172,-42.0160651969,2622.6043701172,nan,2622.6043701172,nan,2622.6043701172,-159.4000619307
2861.0229492187,-42.1701617396,2861.0229492187,nan,2861.0229492187,nan,2861.0229492187,-158.8510264227
3099.4415283203,-42.3376585753,3099.4415283203,nan,3099.4415283203,nan,3099.4415283203,-158.3801199138
3337.8601074219,-42.5185558326,3337.8601074219,nan,3337.8601074219,nan,3337.8601074219,-157.9782676388
3576.2786865234,-42.7128536437,3576.2786865234,nan,3576.2786865234,nan,3576.2786865234,-157.6382488792
3814.697265625,-42.9205521430,3814.697265625,nan,3814.697265625,nan,3814.697265625,-157.3542157591
4053.1158447266,-43.1416514668,4053.1158447266,nan,4053.1158447266,nan,4053.1158447266,-157.1213582496
4291.5344238281,-43.3761517515,4291.5344238281,nan,4291.5344238281,nan,4291.5344238281,-156.9356651522
4529.9530029297,-43.6240531341,4529.9530029297,nan,4529.9530029297,nan,4529.9530029297,-156.7937498823
4768.3715820312,-43.8853557504,4768.3715820312,nan,4768.3715820312,nan,4768.3715820312,-156.6927210944
5006.7901611328,-44.1600597358,5006.7901611328,nan,5006.7901611328,nan,5006.7901611328,-156.6300850182
5245.2087402344,-44.4481652243,5245.2087402344,nan,5245.2087402344,nan,5245.2087402344,-156.6036706567
5483.6273193359,-44.7496723486,5483.6273193359,nan,5483.6273193359,nan,5483.6273193359,-156.6115717567
5722.0458984375,-45.0645812402,5722.0458984375,nan,5722.0458984375,nan,5722.0458984375,-156.6521012764
5960.4644775391,-45.3928920295,5960.4644775391,nan,5960.4644775391,nan,5960.4644775391,-156.7237552969
6198.8830566406,-45.7346048457,6198.8830566406,nan,6198.8830566406,nan,6198.8830566406,-156.8251841630
6437.3016357422,-46.089719817,6437.3016357422,nan,6437.3016357422,nan,6437.3016357422,-156.955169222
6675.7202148437,-46.4582370697,6675.7202148437,nan,6675.7202148437,nan,6675.7202148437,-157.1126039415
6914.1387939453,-46.8401567282,6914.1387939453,nan,6914.1387939453,nan,6914.1387939453,-157.2964784865
7152.5573730469,-47.2354789129,7152.5573730469,nan,7152.5573730469,nan,7152.5573730469,-157.5058670483
7390.9759521484,-47.6442037382,7390.9759521484,nan,7390.9759521484,nan,7390.9759521484,-157.7399173798
7629.39453125,-48.0663313083,7629.39453125,nan,7629.39453125,nan,7629.39453125,-157.9978421063
7867.8131103516,-48.5018617119,7867.8131103516,nan,7867.8131103516,nan,7867.8131103516,-158.2789114730
8106.2316894531,-48.9507950141,8106.2316894531,nan,8106.2316894531,nan,8106.2316894531,-158.5824472543
8344.6502685547,-49.4131312446,8344.6502685547,nan,8344.6502685547,nan,8344.6502685547,-158.9078176024
8583.0688476562,-49.8888703825,8583.0688476562,nan,8583.0688476562,nan,8583.0688476562,-159.2544326536
8821.4874267578,-50.3780123352,8821.4874267578,nan,8821.4874267578,nan,8821.4874267578,-159.6217407402
9059.9060058594,-50.8805569103,9059.9060058594,nan,9059.9060058594,nan,9059.9060058594,-160.0092250795
9298.3245849609,-51.3965037789,9298.3245849609,nan,9298.3245849609,nan,9298.3245849609,-160.4164008343
9536.7431640625,-51.9258524271,9536.7431640625,nan,9536.7431640625,nan,9536.7431640625,-160.8428124509
9775.1617431641,-52.4686020932,9775.1617431641,nan,9775.1617431641,nan,9775.1617431641,-161.2880311961
10013.5803222656,-53.024751687,10013.5803222656,nan,10013.5803222656,nan,10013.5803222656,-161.7516528267
10251.9989013672,-53.5942996848,10251.9989013672,nan,10251.9989013672,nan,10251.9989013672,-162.2332953303
10490.4174804687,-54.1772439957,10490.4174804687,nan,10490.4174804687,nan,10490.4174804687,-162.7325966884
10728.8360595703,-54.7735817900,10728.8360595703,nan,10728.8360595703,nan,10728.8360595703,-163.2492126182
10967.2546386719,-55.3833092790,10967.2546386719,nan,10967.2546386719,nan,10967.2546386719,-163.7828142549
11205.6732177734,-56.0064214348,11205.6732177734,nan,11205.6732177734,nan,11205.6732177734,-164.3330857438
11444.091796875,-56.6429116314,11444.091796875,nan,11444.091796875,nan,11444.091796875,-164.8997217155
11682.5103759766,-57.2927711870,11682.5103759766,nan,11682.5103759766,nan,11682.5103759766,-165.4824246214
11920.9289550781,-57.955988779,11920.9289550781,nan,11920.9289550781,nan,11920.9289550781,-166.0809019126
12159.3475341797,-58.6325496959,12159.3475341797,nan,12159.3475341797,nan,12159.3475341797,-166.6948630461
12397.7661132812,-59.3224348812,12397.7661132812,nan,12397.7661132812,nan,12397.7661132812,-167.3240163078
12636.1846923828,-60.0256197091,12636.1846923828,nan,12636.1846923828,nan,12636.1846923828,-167.9680654408
12874.6032714844,-60.7420724149,12874.6032714844,nan,12874.6032714844,nan,12874.6032714844,-168.6267060731
13113.0218505859,-61.4717520831,13113.0218505859,nan,13113.0218505859,nan,13113.0218505859,-169.2996219355
13351.4404296875,-62.2146060637,13351.4404296875,nan,13351.4404296875,nan,13351.4404296875,-169.9864808649
13589.8590087891,-62.9705666519,13589.8590087891,nan,13589.8590087891,nan,13589.8590087891,-170.6869305851
13828.2775878906,-63.7395468188,13828.2775878906,nan,13828.2775878906,nan,13828.2775878906,-171.4005942591
14066.6961669922,-64.5214347174,14066.6961669922,nan,14066.6961669922,nan,14066.6961669922,-172.1270658047
14305.1147460937,-65.3160866108,14305.1147460937,nan,14305.1147460937,nan,14305.1147460937,-172.8659049652
14543.5333251953,-66.1233177693,14543.5333251953,nan,14543.5333251953,nan,14543.5333251953,-173.6166321269
14781.9519042969,-66.9428907586,14781.9519042969,nan,14781.9519042969,nan,14781.9519042969,-174.3787228747
15020.3704833984,-67.7745003872,15020.3704833984,nan,15020.3704833984,nan,15020.3704833984,-175.1516022783
15258.7890625,-68.6177543959,15258.7890625,nan,15258.7890625,nan,15258.7890625,-175.9346389088
15497.2076416016,-69.4721487553,15497.2076416016,nan,15497.2076416016,nan,15497.2076416016,-176.7271385853
15735.6262207031,-70.3370362003,15735.6262207031,nan,15735.6262207031,nan,15735.6262207031,-177.5283378693
15974.0447998047,-71.2115863905,15974.0447998047,nan,15974.0447998047,nan,15974.0447998047,-178.3373973350
16212.4633789062,-72.0947358958,16212.4633789062,nan,16212.4633789062,nan,16212.4633789062,-179.15339467
16450.8819580078,-72.9851261469,16450.8819580078,nan,16450.8819580078,nan,16450.8819580078,-179.9753176902
16689.3005371094,-73.8810277196,16689.3005371094,nan,16689.3005371094,nan,16689.3005371094,-180.8020573980
